period_cost,holding,stockout,order,demand,inventory,cumulative_cost
60.0,0.0,48.0,24,72,0,5993.9
50.5,0.0,32.0,37,69,0,6044.4
57.0,0.0,45.0,24,69,0,6101.4
57.0,0.0,45.0,24,69,0,6158.4
49.5,0.0,31.0,37,68,0,6207.9
52.5,0.0,34.0,37,71,0,6260.4
45.5,0.0,26.0,39,65,0,6305.9
55.0,0.0,43.0,24,67,0,6360.9
48.0,0.0,36.0,24,60,0,6408.9
47.0,0.0,35.0,24,59,0,6455.9
33.0,0.0,21.0,24,45,0,6488.9
49.0,0.0,37.0,24,61,0,6537.9
36.5,0.0,17.0,39,56,0,6574.4
39.5,0.0,21.0,37,58,0,6613.9
20.0,0.5,0.0,39,34,5,6633.9
47.0,0.0,35.0,24,64,0,6680.9
30.5,0.0,11.0,39,50,0,6711.4
39.5,0.0,21.0,37,58,0,6750.9
26.5,0.0,7.0,39,46,0,6777.4
45.0,0.0,33.0,24,57,0,6822.4
29.5,0.0,10.0,39,49,0,6851.9
34.5,0.0,16.0,37,53,0,6886.4
50.5,0.0,31.0,39,70,0,6936.9
41.5,0.0,23.0,37,60,0,6978.4
45.5,0.0,27.0,37,64,0,7023.9
58.0,0.0,46.0,24,70,0,7081.9
58.0,0.0,46.0,24,70,0,7139.9
50.5,0.0,32.0,37,69,0,7190.4
53.5,0.0,35.0,37,72,0,7243.9
73.0,0.0,61.0,24,85,0,7316.9
52.5,0.0,34.0,37,71,0,7369.4
53.5,0.0,35.0,37,72,0,7422.9
65.0,0.0,53.0,24,77,0,7487.9
64.0,0.0,52.0,24,76,0,7551.9
57.5,0.0,39.0,37,76,0,7609.4
59.0,0.0,47.0,24,71,0,7668.4
46.0,0.0,34.0,24,58,0,7714.4
61.0,0.0,49.0,24,73,0,7775.4
35.5,0.0,17.0,37,54,0,7810.9
42.5,0.0,24.0,37,61,0,7853.4
33.0,0.0,13.0,40,53,0,7886.4
43.0,0.0,31.0,24,55,0,7929.4
36.5,0.0,17.0,39,56,0,7965.9
36.5,0.0,18.0,37,55,0,8002.4
34.5,0.0,15.0,39,54,0,8036.9
49.0,0.0,37.0,24,61,0,8085.9
